Keyword Unique ID,Account ID,Account Name,Campaign,Ad Group,Keyword,Keyword Type,Subid,Paused,Max CPC,ACCOUNT,CAMPAIGN,BRAND,BRAND+CATEGORY,ADGROUP,KEYWORD,Last Avg CPC,Last Avg Pos,Clicks,Impressions,ACCOUNT - Clicks,CAMPAIGN - Clicks,BRAND - Clicks,BRAND+CATEGORY - Clicks,ADGROUP - Clicks,KEYWORD - Clicks,Avg CPC,CTR,Est EPC,newBid,Costs,Avg Pos,number of commissions,Commission Value,ACCOUNT - Commission Value,CAMPAIGN - Commission Value,BRAND - Commission Value,BRAND+CATEGORY - Commission Value,ADGROUP - Commission Value,KEYWORD - Commission Value
17,10,a,A,C,CAR,SCIENCE,"45,6",1,19500,1,1,1,1,1,1,1700,1700,1700,1700,1700,1700,1700,1700,1700,1700,"101,7","101,7","101,7","101,7","101,7","101,7","104,0172","104,0172","104,0172","104,0172","104,0172","104,0172","104,0172","104,0172"
16,15,c,A,B,GAMA,SCIENCE,43,0,19000,1,1,1,1,1,1,1600,1600,1600,1600,1600,1600,1600,1600,1600,1600,"101,6","101,6","101,6","101,6","101,6","101,6","100,0164","100,0164","100,0164","100,0164","100,0164","100,0164","100,0164","100,0164"
15,15,c,A,D,BETA,SCIENCE,"40,4",1,18500,1,1,1,1,1,1,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,"101,5","101,5","101,5","101,5","101,5","101,5","96,0156","96,0156","96,0156","96,0156","96,0156","96,0156","96,0156","96,0156"
14,15,c,A,C,ALFA,SCIENCE,"37,8",1,18000,1,1,1,1,1,1,1400,1400,1400,1400,1400,1400,1400,1400,1400,1400,"101,4","101,4","101,4","101,4","101,4","101,4","92,01480000000001","92,01480000000001","92,01480000000001","92,01480000000001","92,01480000000001","92,01480000000001","92,01480000000001","92,01480000000001"
13,15,c,A,B,CAR,SCIENCE,"35,2",0,17500,1,1,1,1,1,1,1300,1300,1300,1300,1300,1300,1300,1300,1300,1300,"101,3","101,3","101,3","101,3","101,3","101,3","88,01400000000001","88,01400000000001","88,01400000000001","88,01400000000001","88,01400000000001","88,01400000000001","88,01400000000001","88,01400000000001"
12,15,c,A,D,GAMA,SCIENCE,"32,6",0,17000,1,1,1,1,1,1,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,"101,2","101,2","101,2","101,2","101,2","101,2","84,0132","84,0132","84,0132","84,0132","84,0132","84,0132","84,0132","84,0132"
11,10,a,A,C,BETA,SCIENCE,30,1,16500,1,1,1,1,1,1,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,"101,1","101,1","101,1","101,1","101,1","101,1","80,01240000000001","80,01240000000001","80,01240000000001","80,01240000000001","80,01240000000001","80,01240000000001","80,01240000000001","80,01240000000001"
10,10,a,A,B,ALFA,SCIENCE,"27,4",0,16000,1,1,1,1,1,1,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,"101,1","101,99","102,88","103,77","104,66","105,55","76,0116","76,0116","76,0116","76,0116","76,0116","76,0116","76,0116","76,0116"
9,10,a,A,D,CAR,SCIENCE,"24,8",1,15500,1,1,1,1,1,1,900,900,900,900,900,900,900,900,900,900,"100,9","100,9","100,9","100,9","100,9","100,9","72,0108","72,0108","72,0108","72,0108","72,0108","72,0108","72,0108","72,0108"
8,10,a,A,C,GAMA,SCIENCE,"22,2",1,15000,1,1,1,1,1,1,800,800,800,800,800,800,800,800,800,800,"100,8","100,8","100,8","100,8","100,8","100,8","68,01","68,01","68,01","68,01","68,01","68,01","68,01","68,01"
7,10,a,A,B,BETA,SCIENCE,"19,6",0,14500,1,1,1,1,1,1,700,700,700,700,700,700,700,700,700,700,"100,7","100,7","100,7","100,7","100,7","100,7","64,0092","64,0092","64,0092","64,0092","64,0092","64,0092","64,0092","64,0092"
6,10,a,A,D,ALFA,SCIENCE,17,0,14000,1,1,1,1,1,1,600,600,600,600,600,600,600,600,600,600,"100,6","100,6","100,6","100,6","100,6","100,6","60,008399999999995","60,008399999999995","60,008399999999995","60,008399999999995","60,008399999999995","60,008399999999995","60,008399999999995","60,008399999999995"
5,20,b,A,C,CAR,SCIENCE,21,1,13500,1,1,1,1,1,1,500,500,500,500,500,500,500,500,500,500,"100,5","100,5","100,5","100,5","100,5","100,5","56,007600000000004","56,007600000000004","56,007600000000004","56,007600000000004","56,007600000000004","56,007600000000004","56,007600000000004","56,007600000000004"
4,10,a,A,B,GAMA,SCIENCE,2,0,13000,1,1,1,1,1,1,400,400,400,400,400,400,400,400,400,400,"100,4","100,4","100,4","100,4","100,4","100,4","52,0068","52,0068","52,0068","52,0068","52,0068","52,0068","52,0068","52,0068"
3,10,a,A,D,BETA,SCIENCE,10,1,16000,1,1,1,1,1,1,300,300,300,300,300,300,300,300,300,300,"100,3","100,3","100,3","100,3","100,3","100,3","48,006","48,006","48,006","48,006","48,006","48,006","48,006","48,006"
2,10,a,A,C,ALFA,SCIENCE,8,1,5000,1,1,1,1,1,1,200,200,200,200,200,200,200,200,200,200,"100,2","100,2","100,2","100,2","100,2","100,2","44,0052","44,0052","44,0052","44,0052","44,0052","44,0052","44,0052","44,0052"
1,10,a,A,B,CAR,SCIENCE,5,0,15000,1,1,1,1,1,1,100,100,100,100,100,100,100,100,100,100,"100,1","100,1","100,1","100,1","100,1","100,1","40,004400000000004","40,004400000000004","40,004400000000004","40,004400000000004","40,004400000000004","40,004400000000004","40,004400000000004","40,004400000000004"
